mccid_int,suburb_area,canopy_area
3000,3677446113.025886,229698.6669385392
3002,2982341238.408005,318736.26835514966
3003,8696547269.475603,136915.04191339313
3004,3411248054.695499,524742.437669697
3005,3248330.8343939055,5169.106752014515
3006,1152782266.79756,85280.45450485902
3008,4279983945.2664857,77971.84555279785
3010,11132740.061908338,11343.584640098647
3031,7211439205.678996,214988.94045838798
3032,5585345.873994514,3441.9111360431007
3050,1665895.3018983772,2889.6984960293457
3051,4245339777.580932,222642.66873839323
3052,14307668347.80978,627679.2810300727
3053,2683574581.687008,218725.8467068849
3054,582861022.9848064,119744.37297728666
3141,757724397.9327441,343905.08085952606
3207,2618972181.182325,38909.33743242884
