id,common_name,scientific_name,dimensions,depth_water_requirement,volume_water_requirement,watering_general_benchmark,plant_anatomy,cycle,watering,sunlight,default_image,original_url,watering_guide
5449,nepeta,"[""Nepeta faassenii 'Kit Cat'""]","{'type': None, 'min_value': 1, 'max_value': 1.5, 'unit': 'feet'}",[],[],"{'value': '7-10', 'unit': 'days'}",[],herbaceous perennial,frequent,"['full sun', 'part shade']","{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'original_url': 'https://perenual.com/storage/species_image/5449_nepeta_faassenii_kit_cat/og/Flower_Flowers_Plant_Plants-1609927.jpg', 'regular_url': 'https://perenual.com/storage/species_image/5449_nepeta_faassenii_kit_cat/regular/Flower_Flowers_Plant_Plants-1609927.jpg', 'medium_url': 'https://perenual.com/storage/species_image/5449_nepeta_faassenii_kit_cat/medium/Flower_Flowers_Plant_Plants-1609927.jpg', 'small_url': 'https://perenual.com/storage/species_image/5449_nepeta_faassenii_kit_cat/small/Flower_Flowers_Plant_Plants-1609927.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/5449_nepeta_faassenii_kit_cat/thumbnail/Flower_Flowers_Plant_Plants-1609927.jpg'}",https://perenual.com/storage/species_image/5449_nepeta_faassenii_kit_cat/og/Flower_Flowers_Plant_Plants-1609927.jpg,This plant generally waters 7-10 times per day
5462,nepeta,"[""Nepeta subsessilis 'Candy Cat'""]","{'type': None, 'min_value': 2, 'max_value': 2.5, 'unit': 'feet'}",[],[],"{'value': None, 'unit': 'days'}",[],herbaceous perennial,average,"['full sun', 'part shade']","{'license': 45, 'license_name': 'Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)', 'license_url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en', 'original_url': 'https://perenual.com/storage/species_image/5462_nepeta_subsessilis_candy_cat/og/Nepeta_subsessilis_2.jpg', 'regular_url': 'https://perenual.com/storage/species_image/5462_nepeta_subsessilis_candy_cat/regular/Nepeta_subsessilis_2.jpg', 'medium_url': 'https://perenual.com/storage/species_image/5462_nepeta_subsessilis_candy_cat/medium/Nepeta_subsessilis_2.jpg', 'small_url': 'https://perenual.com/storage/species_image/5462_nepeta_subsessilis_candy_cat/small/Nepeta_subsessilis_2.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/5462_nepeta_subsessilis_candy_cat/thumbnail/Nepeta_subsessilis_2.jpg'}",https://perenual.com/storage/species_image/5462_nepeta_subsessilis_candy_cat/og/Nepeta_subsessilis_2.jpg,This plant generally waters 7-10 times per day
5465,Boston fern,['Nephrolepis exaltata'],"{'type': None, 'min_value': 2, 'max_value': 3, 'unit': 'feet'}",[],[],"{'value': '2-3', 'unit': 'days'}",[],perennial,average,"['part shade', 'part sun/part shade']","{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'original_url': 'https://perenual.com/storage/species_image/5465_nephrolepis_exaltata/og/24974757405_ed48b6c850_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/5465_nephrolepis_exaltata/regular/24974757405_ed48b6c850_b.jpg', 'medium_url': 'https://perenual.com/storage/species_image/5465_nephrolepis_exaltata/medium/24974757405_ed48b6c850_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/5465_nephrolepis_exaltata/small/24974757405_ed48b6c850_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/5465_nephrolepis_exaltata/thumbnail/24974757405_ed48b6c850_b.jpg'}",https://perenual.com/storage/species_image/5465_nephrolepis_exaltata/og/24974757405_ed48b6c850_b.jpg,This plant generally waters 2-3 times per day
5466,Boston fern,"[""Nephrolepis exaltata 'Bostoniensis'""]","{'type': None, 'min_value': 2, 'max_value': 3, 'unit': 'feet'}",[],[],"{'value': '2-3', 'unit': 'days'}",[],perennial,average,"['part shade', 'part sun/part shade']","{'license': 5, 'license_name': 'Attribution-ShareAlike License', 'license_url': 'https://creativecommons.org/licenses/by-sa/2.0/', 'original_url': 'https://perenual.com/storage/species_image/5466_nephrolepis_exaltata_bostoniensis/og/40910220584_c595f4b2ea_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/5466_nephrolepis_exaltata_bostoniensis/regular/40910220584_c595f4b2ea_b.jpg', 'medium_url': 'https://perenual.com/storage/species_image/5466_nephrolepis_exaltata_bostoniensis/medium/40910220584_c595f4b2ea_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/5466_nephrolepis_exaltata_bostoniensis/small/40910220584_c595f4b2ea_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/5466_nephrolepis_exaltata_bostoniensis/thumbnail/40910220584_c595f4b2ea_b.jpg'}",https://perenual.com/storage/species_image/5466_nephrolepis_exaltata_bostoniensis/og/40910220584_c595f4b2ea_b.jpg,This plant generally waters 2-3 times per day
5467,Boston fern,"[""Nephrolepis exaltata 'Tiger Fern'""]","{'type': None, 'min_value': 1.5, 'max_value': 2, 'unit': 'feet'}",[],[],"{'value': '2-3', 'unit': 'days'}",[],perennial,average,"['part shade', 'part sun/part shade']","{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'original_url': 'https://perenual.com/storage/species_image/5467_nephrolepis_exaltata_tiger_fern/og/fern-green-leaf-nature-thumbnail.jpg', 'regular_url': 'https://perenual.com/storage/species_image/5467_nephrolepis_exaltata_tiger_fern/regular/fern-green-leaf-nature-thumbnail.jpg', 'medium_url': 'https://perenual.com/storage/species_image/5467_nephrolepis_exaltata_tiger_fern/medium/fern-green-leaf-nature-thumbnail.jpg', 'small_url': 'https://perenual.com/storage/species_image/5467_nephrolepis_exaltata_tiger_fern/small/fern-green-leaf-nature-thumbnail.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/5467_nephrolepis_exaltata_tiger_fern/thumbnail/fern-green-leaf-nature-thumbnail.jpg'}",https://perenual.com/storage/species_image/5467_nephrolepis_exaltata_tiger_fern/og/fern-green-leaf-nature-thumbnail.jpg,This plant generally waters 2-3 times per day
5497,sweet basil,['Ocimum basilicum'],"{'type': None, 'min_value': 1.5, 'max_value': 2, 'unit': 'feet'}",[],[],"{'value': '2-3', 'unit': 'days'}","[{'part': 'flowers', 'color': ['midnight-purple', 'white']}, {'part': 'stems', 'color': ['green', 'violet-green']}, {'part': 'leaves', 'color': ['green']}]",annual,frequent,"['full sun', 'part sun/part shade']","{'license': 5, 'license_name': 'Attribution-ShareAlike License', 'license_url': 'https://creativecommons.org/licenses/by-sa/2.0/', 'original_url': 'https://perenual.com/storage/species_image/5497_ocimum_basilicum/og/40248200770_b483e688a0_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/5497_ocimum_basilicum/regular/40248200770_b483e688a0_b.jpg', 'medium_url': 'https://perenual.com/storage/species_image/5497_ocimum_basilicum/medium/40248200770_b483e688a0_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/5497_ocimum_basilicum/small/40248200770_b483e688a0_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/5497_ocimum_basilicum/thumbnail/40248200770_b483e688a0_b.jpg'}",https://perenual.com/storage/species_image/5497_ocimum_basilicum/og/40248200770_b483e688a0_b.jpg,This plant generally waters 2-3 times per day
5520,orchid,['Oncidium (group)'],"{'type': None, 'min_value': 0.5, 'max_value': 10, 'unit': 'feet'}",[],[],"{'value': '5-7', 'unit': 'days'}",[],perennial,frequent,['part sun/part shade'],"{'license': 451, 'license_name': 'CC0 1.0 Universal (CC0 1.0) Public Domain Dedication', 'license_url': 'https://creativecommons.org/publicdomain/zero/1.0/', 'original_url': 'https://perenual.com/storage/species_image/5520_oncidium_group/og/fl31713317106-image-ktygdh4u.jpg', 'regular_url': 'https://perenual.com/storage/species_image/5520_oncidium_group/regular/fl31713317106-image-ktygdh4u.jpg', 'medium_url': 'https://perenual.com/storage/species_image/5520_oncidium_group/medium/fl31713317106-image-ktygdh4u.jpg', 'small_url': 'https://perenual.com/storage/species_image/5520_oncidium_group/small/fl31713317106-image-ktygdh4u.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/5520_oncidium_group/thumbnail/fl31713317106-image-ktygdh4u.jpg'}",https://perenual.com/storage/species_image/5520_oncidium_group/og/fl31713317106-image-ktygdh4u.jpg,This plant generally waters 5-7 times per day
5564,fragrant olive,['Osmanthus fragrans'],"{'type': None, 'min_value': 10, 'max_value': 15, 'unit': 'feet'}","{'unit': '', 'value': ''}",[],"{'value': '7-10', 'unit': 'days'}","[{'part': 'leaves', 'color': ['dark-green']}, {'part': 'flowers', 'color': ['white']}, {'part': 'stems', 'color': ['brown']}]",perennial,average,"['full sun', 'part shade']","{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'original_url': 'https://perenual.com/storage/species_image/5564_osmanthus_fragrans/og/24860844216_4f1d0f3006_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/5564_osmanthus_fragrans/regular/24860844216_4f1d0f3006_b.jpg', 'medium_url': 'https://perenual.com/storage/species_image/5564_osmanthus_fragrans/medium/24860844216_4f1d0f3006_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/5564_osmanthus_fragrans/small/24860844216_4f1d0f3006_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/5564_osmanthus_fragrans/thumbnail/24860844216_4f1d0f3006_b.jpg'}",https://perenual.com/storage/species_image/5564_osmanthus_fragrans/og/24860844216_4f1d0f3006_b.jpg,This plant generally waters 7-10 times per day
5588,Guiana chestnut,['Pachira aquatica'],"{'type': None, 'min_value': 20, 'max_value': 30, 'unit': 'feet'}","{'unit': '', 'value': ''}",[],"{'value': '7-10', 'unit': 'days'}","[{'part': 'leaves', 'color': ['green']}, {'part': 'midribs', 'color': ['green']}]",perennial,average,['part sun/part shade'],"{'license': 4, 'license_name': 'Attribution License', 'license_url': 'https://creativecommons.org/licenses/by/2.0/', 'original_url': 'https://perenual.com/storage/species_image/5588_pachira_aquatica/og/48134154753_4a0cbe6e47_b.jpg', 'regular_url': 'https://perenual.com/storage/species_image/5588_pachira_aquatica/regular/48134154753_4a0cbe6e47_b.jpg', 'medium_url': 'https://perenual.com/storage/species_image/5588_pachira_aquatica/medium/48134154753_4a0cbe6e47_b.jpg', 'small_url': 'https://perenual.com/storage/species_image/5588_pachira_aquatica/small/48134154753_4a0cbe6e47_b.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/5588_pachira_aquatica/thumbnail/48134154753_4a0cbe6e47_b.jpg'}",https://perenual.com/storage/species_image/5588_pachira_aquatica/og/48134154753_4a0cbe6e47_b.jpg,This plant generally waters 7-10 times per day
5589,water chestnut,"[""Pachira aquatica 'Lemon Blush'""]","{'type': None, 'min_value': 20, 'max_value': 30, 'unit': 'feet'}","{'unit': 'inches', 'value': '2'}",[],"{'value': '2-3', 'unit': 'days'}","[{'part': 'leaves', 'color': ['green']}, {'part': 'midribs', 'color': ['creamy-pale']}]",perennial,frequent,"['full sun', 'part sun/part shade']","{'license': 45, 'license_name': 'Attribution-ShareAlike 3.0 Unported (CC BY-SA 3.0)', 'license_url': 'https://creativecommons.org/licenses/by-sa/3.0/deed.en', 'original_url': 'https://perenual.com/storage/species_image/5589_pachira_aquatica_lemon_blush/og/Pachira_aquatica_19zz.jpg', 'regular_url': 'https://perenual.com/storage/species_image/5589_pachira_aquatica_lemon_blush/regular/Pachira_aquatica_19zz.jpg', 'medium_url': 'https://perenual.com/storage/species_image/5589_pachira_aquatica_lemon_blush/medium/Pachira_aquatica_19zz.jpg', 'small_url': 'https://perenual.com/storage/species_image/5589_pachira_aquatica_lemon_blush/small/Pachira_aquatica_19zz.jpg', 'thumbnail': 'https://perenual.com/storage/species_image/5589_pachira_aquatica_lemon_blush/thumbnail/Pachira_aquatica_19zz.jpg'}",https://perenual.com/storage/species_image/5589_pachira_aquatica_lemon_blush/og/Pachira_aquatica_19zz.jpg,This plant generally waters 2-3 times per day
